 AccountReport, 檔案大小 2.86 GiB 
 GameLogReport, 檔案大小 114.13 GiB 
 DB_NiceFinance, 檔案大小 1.22 GiB 
 NiceMemberDB, 檔案大小 18.18 GiB 
 NiceMemberV3DB, 檔案大小 82.62 GiB 
 NicePaymentDB, 檔案大小 9.95 GiB 
 NicePaymentV3DB, 檔案大小 55.91 GiB 
 NiceReportDB, 檔案大小 2.62 GiB 
 PermissionSettingsBackup, 檔案大小 659.87 KiB 
 NiceSuperMemberDB, 檔案大小 120.1 MiB 
 VIPReportDB, 檔案大小 16.09 MiB 
 9SA_DB, 檔案大小 28.16 MiB 
 LINEatNicePlayDB, 檔案大小 235.21 MiB 
 NiceMobileServiceDB, 檔案大小 86.24 MiB 
 CsTools, 檔案大小 41.54 MiB 
 NiceReportDB, 檔案大小 12.15 GiB 
 NiceService, 檔案大小 16.17 MiB 
 VIPReportDB, 檔案大小 3.09 GiB 
 MobileDB, 檔案大小 3.79 GiB 
 NiceEventDB, 檔案大小 3.08 GiB 
 NicePlayWebDB, 檔案大小 870.78 MiB 
 PermissionSettingsBackup, 檔案大小 118.17 KiB 
 CSTools, 檔案大小 512.4 MiB 
 SDKDB, 檔案大小 881.85 MiB 
 VIPMemberDB, 檔案大小 15.98 GiB 
